0.228,0.559
0.216,0.528
0.221,0.552
0.215,0.538
0.224,0.548
0.232,0.553
0.216,0.525
0.225,0.538
0.206,0.554
0.219,0.582
0.216,0.575
0.212,0.567
0.241,0.551
0.238,0.538
0.232,0.524
0.24,0.545
0.223,0.528
0.222,0.527
0.233,0.562
0.19,0.546
0.209,0.558
0.239,0.559
0.24,0.54
0.222,0.557
0.22,0.539
0.233,0.548
0.221,0.558
0.212,0.564
0.244,0.584
0.236,0.558
0.229,0.532
0.23,0.547
0.238,0.551
0.244,0.54
0.238,0.542
0.234,0.559
0.232,0.534
0.226,0.527
0.199,0.59
0.223,0.552
0.226,0.525
0.241,0.537
0.214,0.517
0.213,0.556
0.226,0.532
0.214,0.565
0.223,0.573
0.225,0.552
0.258,0.554
0.208,0.594
0.222,0.535
0.212,0.547
0.21,0.553
0.211,0.545
0.236,0.551
0.229,0.568
0.241,0.565
0.235,0.546
0.22,0.562
0.196,0.552
0.226,0.539
0.211,0.582
0.237,0.552
0.223,0.56
0.226,0.562
0.246,0.543
0.219,0.551
0.232,0.571
0.227,0.545
0.213,0.566
0.235,0.561
0.237,0.574
0.218,0.523
0.227,0.573
0.244,0.551
0.232,0.555
0.239,0.563
0.234,0.575
0.219,0.564
0.253,0.56
0.241,0.567
0.231,0.532
0.228,0.576
0.214,0.548
0.23,0.587
0.234,0.539
0.227,0.536
0.216,0.544
0.228,0.563
0.235,0.549
0.234,0.589
0.203,0.575
0.248,0.567
0.226,0.537
0.213,0.594
0.223,0.534
0.25,0.579
0.207,0.523
0.233,0.576
0.242,0.584
0.221,0.556
0.234,0.568
0.231,0.58
0.228,0.559
0.215,0.545
0.244,0.573
0.225,0.572
0.248,0.544
0.239,0.55
0.23,0.579
0.244,0.6
0.229,0.571
0.224,0.574
0.251,0.578
0.224,0.56
0.26,0.6
0.206,0.57
0.208,0.589
0.218,0.561
0.22,0.562
0.231,0.607
0.203,0.562
0.229,0.546
0.256,0.553
0.245,0.576
0.227,0.6
0.237,0.559
0.236,0.607
0.245,0.586
0.231,0.581
0.215,0.557
0.245,0.568
0.212,0.56
0.213,0.579
0.227,0.578
0.224,0.593
0.221,0.584
0.211,0.579
0.215,0.61
0.23,0.569
0.223,0.553
